"botiga, botiga","shop, store"
"per ordenar, manar, a comissió","to order, to command, to commission"
a sopar,to dine
"copa, trofeu","cup, trophy"
"canapè, aperitiu","canapé, appetizer"
postres,dessert
anques de granota,frog legs
cargol,snail
ànec,duck
Crec que això és bonic,I think this is beautiful
jo podria,I might
Jo podria prendre cervesa,I might drink beer
Jo podria ser nord-americà,I might be American
satisfet,satisfied
Vostè pot ser satisfet,You might be satisfied
decebedor,disappointing
Podria ser decebedor,It might be disappointing
perillós,dangerous
Podria ser perillós,It might be dangerous
abric,shelter
organisme,organism
grau,degree
planeta,planet
vast,vast
element,element
temporada,season
moll (de la temporada),spring (the season)
estiu,summer
hivern,winter
diumenge,sunday
gener,january
febrer,february
març,march
abril,april
maig,may
juny,june
juliol,july
agost,august
setembre,september
restaurant,restaurant
"Puc tenir el factura, si us plau?","can I have the bill, please?"
carn i patates fregides,steak and chips
carn,meat
menjar,to eat
menú,menu
hem fet fins a les nostres ments,we have made up our minds
placa,plate
plat,dish
forquilla,fork
una mica de cafè,some coffee
M'agradaria una mica de cafè si us plau,I would like some coffee please
una mica de vi,some wine
"M'agradaria una mica de vi, si us plau",I would like some wine please
parlo,I speak
Jo puc parlar català,I can speak Catalan
una mica,a little
Pots parlar català?,Can you speak Catalan?
Jo puc parlar una mica,I can speak a little
Pot parlar anglès?,Can you speak English?
No hi havia taxis,There weren’t any taxis
Vaig tenir una cervesa,I had a beer
Tenia una mica de vi,He had some wine
Vostè tenia una mica d'aigua,You had some water
Vaig menjar una mica de carn,I ate some beef
Va menjar algunes verdures,He ate some vegetables
Et vas menjar una mica de porc,You ate some pork
Vostè va comprar una mica de cafè,You bought some coffee
Jo no tenia una cervesa,I didn’t have a beer
Ell no tenia cap vi,He didn’t have any wine
ni ... ni,neither... nor
això és fotudament molest,that's fucking annoying
repugnant,revolting
res,nothing
massa,too much
"molt, molt","very much, a lot"
inaguantable,unbearable
per jugar,to play
piano,piano
"paraula, paraules, la parla","word, words, speech"
No va ser culpa meva,It wasn't my fault
començo,I start
Vaig començar a aprendre anglès setmana passada,I started learning English  last week
He estat aprenent anglès per un mes,I have been learning English for one month
Fa (temps),ago ( time )
Me'n vaig anar als Estats Units fa dos mesos,I went to America two months ago
Vaig arribar a França fa sis setmanes,I came To France six weeks ago
diversió,fun
per divertir,to have fun
Em vaig divertir molt a Amèrica,I had fun in America
blau,blue
verd,green
negre,black
blanc,white
a mitjan,in the middle of
costat esquerre,left side
dreta,right side
sobre de,on top of
en,on
vell,old
inacceptable,unacceptable
turístic,tourist
merda,shit
odiós,hateful
inútil,useless
"inútil, desesperançat, escombraries","useless, hopeless, rubbish"
ningú,nobody
mitjana,average
"desordre, bordell","mess, brothel"
massa,too bad
tu,you
tu (plural),you (plural)
ells (els homes),they (male)
ells (femella),they (female)
gris,grey
porpra,purple
el llibre,the book
l'edat,the age
el gat,the cat
la casa,the house
festa,holiday
llevar-se la llicència,to take one's leave
fill,son
filla,daughter
germà menor,younger brother
germana menor,younger sister
germana gran,older sister
família,family
nen,child
senyor,mister
sol · licitud,request
per cremar,to burn
per abocar,to pour
esprémer,to squeeze
consum,consumption
sopa,soup
tip (propina),tip (gratuity)
menú de configuració (en un restaurant),set menu (in a restaurant)
pebre,pepper
suc,juice
cocodril,crocodile
girafa,giraffe
hipopòtam,hippopotamus
lleó,lion
porc,pig
tauró,shark
zebra,zebra
guau,woof
miolar,meow
"cuac, cuac","quack, quack"
És agradable,It's nice
És dolent,Is bad
És humit,It is wet
Fa vent,It's windy
el sol està brillant,the sun is shining
hi ha boira,it is foggy
està ennuvolat,it is cloudy
és tempestuós,it is stormy
plou,it rains
s'aboca,It pours
vespa,wasp
abella,bee
volar,fly
el metge,the doctor
gràcies,thanks
estimar,to love
viure,to live
parlar,to talk
per buscar,to search
Thrusday,Thrusday
contra,against
en,in
a partir de,"from, of"
des,since
darrere,behind
al davant de,in front of
entre,between
lluny de,far from
per,for
Ella ha de ser donat una mica de cervesa,She needs to be given some beer
Estic estudiant,I am studying
Estic estudiant català,I am studying Catalan
Estic a l'espera,I am waiting
Ell està esperant per un taxi,He is waiting for a taxi
Ella ho està esperant,She is waiting for him
Vaig a anar,I will go
Pagaré,I will pay
Vaig a menjar,I will eat
Menjarà,He will eat
suficient,sufficient
insuficient,insufficient
transferència,transfer
"comprovar (Regne Unit), xec (EUA)","cheque (UK), check (US)"
"clau, botó, trast, accident cerebrovascular","key, button, fret, stroke"
per cancel · lar,to cancel
per corregir,to correct
compte,account
resta,rest
dispensador,dispenser
cotxe,car
o,or
camió,truck
bicicleta,bike
autobús,bus
tren,train
vaixell,boat
pla,plane
helicòpter,helicopter
per reconèixer,to recognize
a aparèixer,to appear
"d'albirar, per notar","to catch sight of, to notice"
perquè sembli,to look like
01:00,a
noia,girl
prim,slim
mateix,same
valent,cute
natges,buttocks
ningú,anyone
que costa,it costs
És car,It is expensive
És molt car,It is very expensive
És més car,It is more expensive
És més barat,It is cheaper
lliure,free
massa,too
gran,big
És gran,It is big
convidat,guest
benvingut,welcome
pregunta,question
per poder,to be able to
entendre,to understand
presentar,to present
nom de pila,first name
nom,name
per permetre,to allow
per excusar,to excuse
lent,slow
la reunió,the meeting
el mes,the month
la setmana,the week
repetir,to repeat
a mesuri,to mesure
la febre,the fever
la salut,the health
malalt,sick
la infermera,the nurse
nou,new
molt gran,very big
molt petita,very small
diferent,different
03:00,three
05:00,five
06:00,six
07:00,seven
08:00,eight
10,ten
cama,leg
estómac,stomach
mà,hand
peu,foot
pit,breast
cul,ass
cara,face
nas,nose
boca,mouth
abans,before
una hora,an hour
un minut,one minute
Encara no ha arribat,still hasn't arrived
amb bicicleta,by bike
a peu,on foot
vol,flight
tarda,late
Una ampolla d'aigua mineral,A bottle of mineral water
verdures,vegetables
trenta,thirty
cinquanta,fifty
seixanta,sixty
setanta,seventy
mil,one thousand
milió,million
01:00,one
02:00,two
04:00,four
09:00,nine
tothom,everyone
a haver de,to have to
setmana,week
si,if
"vorera, paviment","sidewalk, pavement"
per continuar,to continue
senyoreta,Miss
petó,kiss
segur,sure
per creure,to believe
una posició,a position
una llibreria,a bookstore
una papereria,a stationery
un restaurant,a restaurant
un saló de bellesa,a hair salon
un centre comercial,a mall
Bon dia; hola,good morning; hello
bona nits,good evening
tenir una bona tarda,have a good evening
bona nit,good night
vegetal,vegetable
un formatge i pernil sandvitx torrat,a toasted cheese and ham sandwich
aigua,water
un got,a glass
vegetarià,vegetarian
gaudir del seu menjar,enjoy your food
és deliciós,it's delicious
un got d'aigua,a glass of water
Vols menjar alguna cosa?,Would you like something to eat?
Vols una mica de beure?,Would you like something to drink?
oficina,office
una sala d'estar,a living room
una habitació,a room
soterrani,basement
una porta,a door
àtic,attic
corredor,corridor
una escala,a staircase
un porxo,a porch
balcons,balconies
massa fred,too cold
massa calenta,too hot
calefacció,heating
aire condicionat,air conditioning
és molt greu,it is very serious
una nit,a night
(Alguns) Vi,(some) wine
amic,friend
hotel,hotel
dormitori,Bedroom
recte,straight
davant,across from
ser,to be
tenir,to have
factura,bill
França,France
disculpeme,excuse me
Com estàs?,How are you?
trist,sorry
Anglaterra,England
moneda,coin
quantitat,amount
per resoldre,to settle
per validar,to validate
efectiu,cash
insuficiència de fons,insufficient funds
dèbit,debit
per comprar,to buy
vendre,to sell
per a l'intercanvi,to exchange
un avió que es va estavellar,a crashing plane
"a eliminar, per enlairar","to remove, to take off"
per distribuir,to distribute
"avaria, fallada","breakdown, failure"
targeta,card
banca,banking
d'empassar,to swallow
codi,code
per retenir,to retain
memòria (d'un esdeveniment o fet concret),memory (of a specific event or fact)
Fira,Fair
concert,concert
teatre,theater
cinema,cinema
circ,circus
show,show
museu,museum
mercat,market
interior,interior
exterior,exterior
possible,possible
és possible,it is possible
no,not
no és possible,not possible
No és possible,It is not possible
No ho sé,I don’t know
pollastre,chicken
És carn?,Is it beef?
"De fet, en realitat","in fact, actually"
Hi ha alguna botiga?,Are there any shops?
on vas?,where are you going?
Vaig a ...,I am going to...
Em diuen,I am called
És possible?,is it possible?
"Sí, és possible","yes, it is possible"
"no, no és possible","no, it is not possible"
Com?,how?
és?,is it?
Què està passant?,What's going on?
no hi ha problema,no problem
quaranta,forty
vuitanta,eighty
noranta,ninety
cent,hundred
zero,zero
Quan?,when?
ahir,yesterday
en cotxe,by car
amb tren,by train
amb avió,by plane
No té res d'aigua,You didn’t have any water
Jo no menjar la carn de boví,I didn’t eat any beef
No menjava els vegetals,He didn’t eat any vegetables
Era feliç?,Was he happy?
Estava famolenc?,Was he hungry?
Jo no estava content,I wasn’t happy
Ell no feia fred,He wasn’t cold
No tenia gana,She wasn’t hungry
Tu no estaves enfadat,You weren’t angry
criticar,fault
voltant,around
banda,side
acostar,to approach
buit,empty
mitjançant,through
mitjà,middle
a tot arreu,everywhere
fora,outside
dins,inside
complet,full
seva targeta ha estat rebutjada,your card has been declined
faldilla,skirt
"pont, suèter","jumper, sweater"
llenceria,lingerie
roba interior,underwear
peça de vestir,item of clothing
t-shirt,t-shirt
dessuadora,sweatshirt
llana,wool
seda,silk
el partit,the party
On és la festa?,Where is the party?
Què vol dir això?,what does this mean?
l'hospital està allà,the hospital is over there
torn,turn
lluny,far
L'hotel està lluny,The hotel is far
prop,near
cap,towards
nord,north
seient,seat
clau,key
butaca,armchair
TV,TV
mirall,mirror
llum,lamp
posar,to put
"espai, habitació, lloc, lloc","space, room, place, spot"
porta,door
finestra,window
"(Més) sensible, delicat, thinskinned","(over) sensitive, touchy, thinskinned"
reputació,reputation
negativa,refusal
clixé,cliché
característica,feature
"fag, cigarret (slang)","fag, cigarette (slang)"
encongir d'espatlles,to shrug one's shoulders
doble petó a la galta,double cheek kiss
abadejo,pout
a posar-se de mal humor,to sulk
aquesta beguda no és bona,this drink is not good
"un altre, si us plau","another one, please"
una ampolla de vi negre,a bottle of red wine
taxi,taxi
aeroport,airport
estació de tren,train station
esquerra,left
dret,right
per aturar,to stop
On vas?,Where are you going?
Dono vi John,I give John wine
Li donem vi,We give him wine
Ell li dóna a John,He gives it to John
Ella l'hi dóna,She gives it to him
no és el cafè de John,it is not John's coffee
M'importa cafè de John,I don't give coffee to John
No és la cervesa de Jane,It is not Jane's beer
M'importa la cervesa a Jane,I don't give beer to Jane
Ella m'ha de donar el vi,She must give me wine
Qui m'ho va donar?,Who gave it to me?
amant,lover
a adoptar,to adopt
germà,brother
germana,sister
incest,incest
oncle,uncle
tia,aunt
primer,cousin
nebot,nephew
neboda,niece
més enllà de,beyond
pel que fa a,regarding
aproximadament,approximately
"excepte, a part de","except, apart from"
"fins que, fins","until, up to"
tot i,despite
entre,among
durant,during
sense,without
excepte,except
banyera,bath tub
sofà,sofa
dutxa,shower
bidet,bidet
planta baixa,ground floor
paperera,bin
escala,stairs
manta,rug
immediatament,immediately
recent,recent
borsa,bag
botó,button
mitjó,sock
watch (rellotge),watch (timepiece)
marca,brand
emergència,emergency
per analitzar,to analyse
cas,case
des,from
estable,stable
per executar,to run
transport,transportation
retard,delay
d'esperar,to wait
port,harbor
estació,station
aturi,stop
bitllet,ticket
passaport,passport
duana,customs
"poc, no gaire","little, not much"
només,only
més aviat,rather
"per fi, per fi","at last, finally"
atroç,atrocious
comú,common
feble,weak
intolerable,intolerable
odiar,to hate
estúpid,stupid
frontera (entre països),border (between countries)
territori,territory
immigrar,to immigrate
població,population
per conduir,to drive
estranger,foreigner
motocicleta,motorcycle
a emigrar,to emigrate
per robar,to steal
"a rodar, anar, anar cap endavant, per córrer, per conduir","to roll, to go, to go forward, to run, to drive"
un jardí,a garden
piscina,Pool
mercat,market
supermercat,supermarket
un forn,a bakery
un producte de confiteria,a confectionery
un mercat de peix,a fish market
Banc,Bank
quiosc,kiosk
farmàcia,pharmacy
un front,a front
una brida,a flange
una boca,a mouth
una orella,an ear
una barba,a beard
un bigoti,a mustache
dent,tooth
un llenguatge,a language
una cella,an eyebrow
pèl,hair
"caiguda, tardor","fall, autumn"
calmar,calm
animals,animals
suportar,bear
ximpanzé,chimpanzee
cérvol,deer
conill,rabbit
papallona,butterfly
camell,camel
cranc,Crab
llançador,pitcher
"una gerra de (aixeta) d'aigua, si us plau","a jug of (tap) water, please"
l'aigua de l'aixeta,tap water
ou ferrat,fried egg
queixar-se,to complain
macaron,macaron
merenga,meringue
banc,bank
avinguda,avenue
bulevard,boulevard
"tornar, ser part d', al retorn","to go back, to be part of, to return"
deixar,to leave
"de fugir, d'escapar, per evitar","to flee, to escape, to avoid"
per sortir,to go out
per escapar,to escape
sortida,exit
lloc,place
anar,to go
en una altra part,elsewhere
a,to
baix,below
sota,under
el mateix,the same
partit,party
professor,professor
metge,doctor
president,president
hospital,hospital
telèfon mòbil,mobile phone
vermell,red
tipus,guy
dama,lady
nen,boy
alt,tall
bastant,pretty
jove,young
greix,fat
i,and
cap,head
braç,arm
gelós,jealous
la pesca,the fishing
el ball,the dancing
la natació,the swimming
l'equitació,the horse riding
l'avanç lent,the jogging
el busseig,the diving
Bon Nadal,Merry Christmas
Feliç Any Nou,Happy New Year
feliç Pasqua,Happy Easter
Okay,ok
a l'esquerra,to the left
a la dreta,to the right
El meu nom és,My name is
El seu nom és,His name is
vint-,twenty-one
trenta-u,thirty-one
trenta-dos,thirty-two
setanta-u,seventy-one
ganivet,knife
un tros de ...,a piece of...
pa,bread
cullera,spoon
germà gran,oldest brother
home,man
pare,father
botiga,shop
viatge de negocis,business trip
mare,mother
pertànyer,to belong
viure en,to live in
"construcció, béns arrels","building, real estate"
allotjament,accommodation
propietat,property
habitant,inhabitant
marc,frame
pis de fusta,hardwood floor
foc,fire
propietari,owner
les verdures,the vegetables
el pernil,the ham
el pastís,the pie
el te,the tea
l'arròs,the rice
el pollastre,the chicken
el cafè,the coffee
la mel,the honey
la primavera,the spring
l'estiu,the summer
setanta-set,seventy-seven
vuitanta-u,eighty-one
noranta-u,ninety-one
noranta-nou,ninety-nine
dos-cents,two hundred
dos-cents un,two hundred and one
un mil,one thousand one
endavant,forth
cinquè,fifth
sisè,sixth
